letter,sound,tags,,,,
अ,a,3,t,,,
आ,aa,3,t,tt,,
ओ,o,3,t,tt,tick above,
औ,ou,3,t,tt,tick above,double tick above
ऑ,oi,3,t,tt,u above,
ऒ,oii,3,t,tt,squiggle above,
ॐ,oms,3,right hook,u above,dot,dot above
उ,u,3,overline,,,
ऊ,uu,3,overline,right grab,,
ध,thha,E,t,,,
छ,chha,E,little T,o,,
घ,gha,E,T,,,
ए,e,short tt,double down hook,,,
ऍ,ei,short tt,double down hook,u above,,
ऎ,ei,short tt,double down hook,squiggle above,,
ऐ,ai,short tt,double down hook,tick above,,
इ,i,little T,left nose,fancy 2,,
ई,ii,little T,left nose,fancy 2,hook above,
झ,jha,little T,left nose,fancy 2,T,
ड,da,little T,left nose,hook up to left,,
ङ,n'a,little T,left nose,dot,right dot,
ड़,ugdha,little T,left nose,dot,dot under,hook up to left
त,t'a,T,left nose,slash,,
ह,ha,little T,c under,,,
ट,ta,little T,C,,,
ठ,tha,little T,C,C extended,,
द,tha,little T,C,curly below,,
ढ,dha,little T,C,o,,
ढ़,ugdhha,little T,C,o,dot,dot under
ब,b,T,c,strike,,
व,va,T,c,,,
च,ca,T,c,ct,,
क,ka,T,c,right grab,,
क़,qi,T,c,right grab,dot,dot left-under
फ़,fi,T,l,right grab,dot,dot left-under
फ,fa,T,l,right grab,,
भ,bha,t,down arrow,left arrow,,
म,ma,T,down arrow,left arrow,,
ग,ga,T,down arrow,,,
ग़,ghi,T,down arrow,dot,dot left-under,
न,na,T,left arrow,,,
ऩ,ni,T,left arrow,dot,dot under,
ज,ja,T,left hook,,,
ज़,za,T,left hook,dot,dot under,
ख़,khi,T,R,little c,dot under,
ख,kha,T,R,little c,,
ऱ,ri,overline,R,dot,dot left-under,
र,ra,overline,R,,,
स,sa,T,R,,,
श,sha,T,o,2,,
थ,t'ha,t,2,,,
य,ya,T,2,,,
य़,yi,T,2,dot,dot under,
ल,l,T,heart,,,
ऌ,li,little T,heart,tail,,
ॡ,lii,little T,heart,tail,double tail,
ळ,li,little T,8,,,
ऴ,lii,little T,8,dot,dot under,
ण,nae,u,T,,,
प,pa,l,T,,,
ष,shha,l,T,strike,,
ऋ,ri,T,h,tail,,
ॠ,ri,T,h,tail,double tail,
ञ,nia,T,backwards c,,,
